date,quarterlyTaxProvision,quarterlyOtherIncomeExpense,quarterlyInventory,quarterlyNetPPE,quarterlyRepaymentOfDebt,quarterlyCashAndCashEquivalents,quarterlyCommonStockIssuance,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyInterestExpense,quarterlyCurrentDebt,quarterlyPretaxIncome,quarterlyNetOtherFinancingCharges,quarterlyOperatingCashFlow,quarterlyCapitalExpenditure,quarterlyOtherNonCurrentAssets,quarterlyAccumulatedDepreciation,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyTotalAssets,quarterlyTotalNonCurrentAssets,quarterlySaleOfInvestment,quarterlyChangesInAccountReceivables,quarterlyOtherCurrentLiabilities,quarterlyRepurchaseOfCapitalStock,quarterlyChangeInCashSupplementalAsReported,quarterlyAccountsPayable,quarterlyCapitalStock,quarterlyBeginningCashPosition,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyNetIncomeCommonStockholders,quarterlyEndCashPosition,quarterlyInvestingCashFlow,quarterlyOtherNonCashItems,quarterlyCashDividendsPaid,quarterlyEbitda,quarterlyPurchaseOfInvestment,quarterlyStockBasedCompensation,quarterlyDeferredIncomeTax,quarterlyRetainedEarnings,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyDepreciationAndAmortization,quarterlyCurrentAssets,quarterlyCurrentLiabilities,quarterlyChangeInWorkingCapital,quarterlyNonCurrentDeferredRevenue,quarterlyIncomeTaxPayable,quarterlyFreeCashFlow,quarterlyOperatingIncome,quarterlyTotalRevenue,quarterlyGrossPPE,quarterlyOtherCurrentAssets,quarterlyNetOtherInvestingChanges,quarterlyChangeInInventory,quarterlyCostOfRevenue,quarterlyCurrentAccruedExpenses,quarterlyAccountsReceivable,quarterlyOtherNonCurrentLiabilities,quarterlyGrossProfit,quarterlyInvestmentsAndAdvances,quarterlyOperatingExpense,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyChangeInAccountPayable,quarterlyCurrentDeferredRevenue,quarterlyLongTermDebt,quarterlySellingGeneralAndAdministration,quarterlyNetIncome,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyNetIncomeContinuousOperations,quarterlyStockholdersEquity,quarterlyResearchAndDevelopment,quarterlyBasicAverageShares,quarterlyDilutedEPS,quarterlyBasicEPS,quarterlyOtherShortTermInvestments,quarterlyPurchaseOfBusiness,quarterlyDilutedAverageShares,quarterlyOtherIntangibleAssets,quarterlyGoodwill
2008-06-30,93798000,2528000,502542000.0,12181805000.0,,32616000.0,0.0,32616000.0,69646000.0,97373000.0,256579000,27554000,401075000,-365194000.0,439452000.0,,-55138000,16264257000.0,14806925000.0,,,269572000.0,0.0,-53445000,443935000.0,869000000.0,86061000,-5124000.0,152915000,32616000,-399382000,-3504000,-132692000,477809000,,,16135000.0,1666528000.0,11652664000.0,151584000,1457332000.0,1078788000.0,83042000,,2740000.0,35881000,-318148000,1469813000,12181805000.0,133196000.0,-34188000,,637587000,105012000.0,432072000.0,,832226000,588226000.0,1150374000,,,,5351090000.0,,162781000,2360820000.0,162781000,4611593000.0,,,,,,,,,
2008-09-30,156109000,5999000,555964000.0,12369011000.0,,218277000.0,75000000.0,218277000.0,71166000.0,169689000.0,417570000,192252000,392073000,-309790000.0,508912000.0,,134545000,16735360000.0,15042973000.0,,,234491000.0,0.0,185661000,454415000.0,944000000.0,32616000,-4906000.0,251595000,218277000,-340957000,-3029000,-132707000,642126000,,,88811000.0,1795283000.0,11916079000.0,153390000,1692387000.0,1412615000.0,-121385000,,7935000.0,82283000,-399619000,1865082000,12369011000.0,99293000.0,-31167000,,877562000,135968000.0,476245000.0,1217230000.0,987520000,552437000.0,1387139000,,,,5221120000.0,,261461000,2419008000.0,261461000,4819281000.0,,,,,,,,,
2008-12-31,44478000,1397000,627969000.0,12699787000.0,,28181000.0,75000000.0,28181000.0,69130000.0,275074000.0,135692000,-367553000,243951000,-452975000.0,202018000.0,-6259720000.0,99742000,16536006000.0,14861636000.0,,,214855000.0,0.0,-190096000,536884000.0,685127000.0,218277000,,81349000,28181000,-533789000,-11741000,-132700000,353407000,,,17079000.0,1753797000.0,10996569000.0,148585000,1674370000.0,1267932000.0,21421000,,18299000.0,-209024000,2265949000,1405357000,18959507000.0,140317000.0,-79947000,,654095000,192448000.0,395054000.0,1141935000.0,751262000,517660000.0,-1514687000,,,,5604791000.0,,91214000,2505838000.0,91214000,5539437000.0,,,,,,,,,
2009-03-31,85009000,10353000,642550000.0,12942043000.0,-24995000.0,333951000.0,0.0,333951000.0,72207000.0,81730000.0,241141000,-5822000,296927000,-337984000.0,206178000.0,-6346622000.0,335297000,17012245000.0,14948503000.0,60600000.0,,208852000.0,,305770000,412617000.0,1704127000.0,28181000,-9661000.0,146266000,333951000,-326454000,-5040000,-140568000,477836000,-60760000.0,,-25795000.0,1769361000.0,11447356000.0,164488000,2063742000.0,1235128000.0,12051000,,143306000.0,-41057000,298873000,1339766000,19288665000.0,171127000.0,11690000,,540337000,138583000.0,373519000.0,1175659000.0,799429000,491847000.0,500556000,10212228000.0,,,6103870000.0,,156132000,2453484000.0,156132000,5564889000.0,,,,,,,,,
2009-06-30,105357000,14662000,689275000.0,13131994000.0,0.0,196915000.0,0.0,196915000.0,76768000.0,84880000.0,291555000,64299000,243182000,-303614000.0,198258000.0,-6429812000.0,-82955000,17065419000.0,15150385000.0,63457000.0,,132963000.0,,-137036000,422586000.0,1362412000.0,333951000,-8875000.0,176332000,196915000,-297263000,-27032000,-140572000,515703000,-63587000.0,,30977000.0,1814987000.0,11790636000.0,147380000,1915034000.0,1156329000.0,-82724000,,35767000.0,-60432000,349513000,1366516000,19561806000.0,148647000.0,6481000,,530179000,230133000.0,410446000.0,1232154000.0,836337000,542859000.0,486824000,10634307000.0,,,6156915000.0,,186198000,2507082000.0,186198000,5274783000.0,,,,,,,,,
2009-09-30,154050000,14339000,664837000.0,13268387000.0,-250000000.0,331122000.0,,331122000.0,75817000.0,85242000.0,425585000,144226000,625290000,-255315000.0,533696000.0,-6516289000.0,-246336000,17270282000.0,15337392000.0,53582000.0,,145536000.0,,134207000,377213000.0,1497412000.0,196915000,-7180000.0,261669000,331122000,-244747000,3839000,-140562000,663784000,-53632000.0,,-37515000.0,1945959000.0,11721732000.0,162382000,1932890000.0,968999000.0,211399000,,95262000.0,369975000,482644000,1592156000,19784676000.0,109796000.0,10618000,,623257000,265746000.0,453136000.0,1186774000.0,968899000,58469000.0,486255000,10752733000.0,,,6156960000.0,,271535000,2537181000.0,271535000,5548550000.0,,,,,,,,,
2009-12-31,39564000,15257000,720585000.0,13524984000.0,0.0,368016000.0,,368016000.0,73703000.0,100000000.0,134698000,-102619000,437913000,-336667000.0,0.0,-6558864000.0,-40687000,17524093000.0,15613320000.0,66157000.0,,346404000.0,,36894000,523075000.0,1564873000.0,331122000,-5383000.0,85269000,368016000,-360332000,11376000,-140568000,370939000,-66683000.0,,-33574000.0,1900526000.0,11944259000.0,162538000,1910773000.0,1197678000.0,221432000,,14789000.0,101246000,188927000,1230136000,20083848000.0,94157000.0,-23139000,,436402000,181492000.0,355814000.0,1159158000.0,793734000,619172000.0,604807000,10746581000.0,,,6082489000.0,,95134000,2546886000.0,95134000,5579834000.0,,,,,,,,,
2010-03-31,122246000,6737000,710271000.0,13646193000.0,0.0,202971000.0,,202971000.0,74562000.0,300386000.0,334860000,4481000,273746000,-254694000.0,0.0,-6652573000.0,-141057000,17623188000.0,15812046000.0,39486000.0,,321432000.0,,-165045000,400411000.0,1564873000.0,368016000,-4334000.0,202748000,202971000,-297734000,-7263000,-145538000,577560000,-39487000.0,2930000.0,46926000.0,1967602000.0,11965814000.0,168138000,1811142000.0,1280796000.0,-141886000,,68988000.0,19052000,398647000,1495145000,20298766000.0,110503000.0,-43039000,10322000.0,558569000,138533000.0,380834000.0,1178316000.0,936576000,644162000.0,537929000,10685018000.0,-75215000.0,,5883255000.0,,212614000,2609947000.0,212614000,5657374000.0,,,,,,,,,
2010-06-30,118884000,1947000,721481000.0,13731702000.0,,99977000.0,,99977000.0,76132000.0,359997000.0,318661000,7368000,223978000,-228799000.0,0.0,-6752418000.0,-78174000,17639475000.0,15878981000.0,44571000.0,,275411000.0,,-102994000,406278000.0,343373000.0,202971000,-4508000.0,189911000,99977000,-248798000,-39782000,-145539000,569197000,-44570000.0,684000.0,76722000.0,2021839000.0,11921575000.0,174404000,1760494000.0,1281737000.0,-178944000,,1686000.0,-4821000,388870000,1462247000,20484120000.0,92302000.0,-20000000,-2916000.0,530800000,163348000.0,403523000.0,1194999000.0,931447000,606801000.0,542577000,10639838000.0,-12939000.0,,5882547000.0,,199777000,2648272000.0,199777000,5717900000.0,,,,,,,,,
2010-09-30,157782000,2018000,705028000.0,13789472000.0,,368103000.0,,368103000.0,76292000.0,450000000.0,427301000,5732000,657122000,-201245000.0,586762000.0,-6861206000.0,-199883000,18066102000.0,15958046000.0,41982000.0,,259637000.0,,268126000,419105000.0,1564873000.0,99977000,-4588000.0,259653000,368103000,-189113000,46449000,-145618000,680371000,-41982000.0,560000.0,177471000.0,2145738000.0,12214177000.0,176778000,2108056000.0,1422424000.0,-21411000,,,455877000,497446000,1705933000,20650678000.0,107917000.0,12132000,3818000.0,592605000,190873000.0,498367000.0,1212901000.0,1113328000,61600000.0,615882000,10791753000.0,22117000.0,,5732575000.0,,269519000,2817307000.0,269519000,5851925000.0,,,,,,,,,
2010-12-31,64088000,-4702000,737000000.0,13865000000.0,-250000000.0,154000000.0,0.0,154000000.0,76014000.0,200000000.0,128178000,7419000,218154000,-218262000.0,552000000.0,-6931000000.0,-180886000,17994000000.0,16172000000.0,109961000.0,,180000000.0,,-214087000,483000000.0,1565000000.0,368103000,-7000000.0,54688000,154000000,-251355000,-65404000,-188305000,378872000,-110961000.0,826000.0,108881000.0,2022000000.0,12258000000.0,174680000,1822000000.0,1104000000.0,-58759000,,2000000.0,-108000,204037000,1312675000,20796000000.0,103000000.0,-32093000,-32224000.0,449026000,207000000.0,397000000.0,1221000000.0,863649000,135000000.0,659612000,11154000000.0,12037000.0,,5987000000.0,,64090000,2989000000.0,64090000,5736000000.0,,,,,,,,,
2011-03-31,96000000,-1000000,724000000.0,13925000000.0,-200000000.0,159000000.0,,159000000.0,74000000.0,0.0,258000000,0,327000000,-213000000.0,578000000.0,-7038000000.0,-98000000,17925000000.0,16247000000.0,97000000.0,,172000000.0,,5000000,328000000.0,1565000000.0,154000000,-5000000.0,152000000,159000000,-224000000,-4000000,-148000000,517000000,-97000000.0,3000000.0,59000000.0,2036000000.0,12163000000.0,185000000,1678000000.0,696000000.0,-67000000,,4000000.0,114000000,329000000,1320000000,20963000000.0,95000000.0,-11000000,13000000.0,452000000,141000000.0,354000000.0,1240000000.0,868000000,134000000.0,539000000,11467000000.0,-153000000.0,,6235000000.0,,162000000,3015000000.0,162000000,5762000000.0,,,,,,,,,
2011-06-30,131000000,-1000000,722000000.0,14039000000.0,-450000000.0,162000000.0,,162000000.0,77000000.0,0.0,331000000,-7000000,492000000,-272000000.0,0.0,-7127000000.0,-156000000,18230000000.0,16475000000.0,155000000.0,,73000000.0,,3000000,414000000.0,1565000000.0,159000000,-6000000.0,190000000,162000000,-333000000,352000000,-149000000,596000000,-155000000.0,1000000.0,115000000.0,2088000000.0,12414000000.0,188000000,1755000000.0,849000000.0,11000000,,28000000.0,220000000,404000000,1440000000,21166000000.0,94000000.0,-61000000,-5000000.0,502000000,170000000.0,418000000.0,536000000.0,938000000,706000000.0,534000000,11565000000.0,76000000.0,86000000.0,6236000000.0,,200000000,3202000000.0,200000000,5816000000.0,,,,,,,,,
2011-09-30,180000000,0,671000000.0,14084000000.0,-4000000.0,576000000.0,,576000000.0,73000000.0,0.0,454000000,4000000,739000000,-209000000.0,0.0,-7247000000.0,-148000000,18515000000.0,16448000000.0,49000000.0,,84000000.0,,414000000,393000000.0,1565000000.0,162000000,-14000000.0,264000000,576000000,-177000000,276000000,-148000000,716000000,-49000000.0,1000000.0,176000000.0,2213000000.0,12574000000.0,189000000,2067000000.0,867000000.0,90000000,,13000000.0,530000000,523000000,1671000000,21331000000.0,99000000.0,32000000,54000000.0,595000000,189000000.0,467000000.0,544000000.0,1076000000,637000000.0,553000000,11707000000.0,-43000000.0,85000000.0,6232000000.0,,274000000,3380000000.0,274000000,5941000000.0,,,,,,,,,
2011-12-31,71000000,-6000000,719000000.0,14169000000.0,-100000000.0,344000000.0,,344000000.0,75000000.0,500000000.0,182000000,1000000,490000000,-283000000.0,0.0,-7344000000.0,-467000000,18477000000.0,16663000000.0,65000000.0,,110000000.0,,-232000000,525000000.0,1565000000.0,576000000,-18000000.0,102000000,344000000,-255000000,94000000,-368000000,444000000,-49000000.0,1000000.0,109000000.0,1956000000.0,12792000000.0,187000000,1814000000.0,1492000000.0,123000000,,32000000.0,207000000,258000000,1271000000,21513000000.0,114000000.0,12000000,-48000000.0,401000000,206000000.0,367000000.0,553000000.0,870000000,675000000.0,612000000,11300000000.0,131000000.0,85000000.0,5632000000.0,,111000000,3489000000.0,111000000,5685000000.0,,,,,,,,,
2012-03-31,84000000,-2000000,797000000.0,14255000000.0,-1000000.0,355000000.0,,355000000.0,73000000.0,750000000.0,220000000,2000000,140000000,-244000000.0,0.0,-7446000000.0,106000000,18664000000.0,16756000000.0,49000000.0,,110000000.0,,11000000,388000000.0,1565000000.0,344000000,-14000000.0,126000000,355000000,-235000000,121000000,-145000000,482000000,-49000000.0,4000000.0,31000000.0,1948000000.0,12971000000.0,189000000,1908000000.0,1580000000.0,-204000000,,44000000.0,-104000000,291000000,1216000000,21701000000.0,119000000.0,9000000,-79000000.0,361000000,148000000.0,335000000.0,561000000.0,855000000,724000000.0,564000000,11391000000.0,-149000000.0,86000000.0,5630000000.0,,136000000,3516000000.0,136000000,5693000000.0,,,,,,,,,
2012-06-30,126000000,45000000,849000000.0,14285000000.0,-250000000.0,78000000.0,,78000000.0,73000000.0,500000000.0,321000000,6000000,341000000,-192000000.0,0.0,-7562000000.0,-389000000,18554000000.0,16767000000.0,39000000.0,,97000000.0,,-277000000,372000000.0,1565000000.0,355000000,-25000000.0,185000000,78000000,-229000000,177000000,-145000000,585000000,-39000000.0,2000000.0,54000000.0,1997000000.0,12810000000.0,191000000,1787000000.0,1398000000.0,-76000000,,99000000.0,149000000,390000000,1377000000,21847000000.0,99000000.0,-37000000,-52000000.0,426000000,164000000.0,402000000.0,571000000.0,951000000,705000000.0,561000000,11412000000.0,4000000.0,86000000.0,5630000000.0,925000000.0,195000000,3545000000.0,195000000,5744000000.0,,,,,,,,,
2012-09-30,184000000,-3000000,816000000.0,14303000000.0,0.0,366000000.0,,366000000.0,71000000.0,700000000.0,474000000,10000000,604000000,-180000000.0,0.0,-7659000000.0,-134000000,18826000000.0,16787000000.0,40000000.0,,266000000.0,,288000000,183000000.0,1565000000.0,78000000,-27000000.0,280000000,366000000,-182000000,307000000,-144000000,739000000,-40000000.0,1000000.0,47000000.0,2143000000.0,12925000000.0,194000000,2039000000.0,1617000000.0,37000000,,93000000.0,424000000,544000000,1637000000,21962000000.0,91000000.0,-2000000,33000000.0,541000000,185000000.0,505000000.0,580000000.0,1096000000,724000000.0,552000000,11308000000.0,-22000000.0,86000000.0,5430000000.0,,290000000,3589000000.0,290000000,5901000000.0,,,,,,,,,
2012-12-31,83000000,0,870000000.0,14516000000.0,-700000000.0,137000000.0,,137000000.0,70000000.0,250000000.0,205000000,7000000,291000000,-251000000.0,0.0,-7761000000.0,-232000000,18712000000.0,16955000000.0,65000000.0,,55000000.0,,-229000000,509000000.0,1907000000.0,366000000,-27000000.0,113000000,137000000,-288000000,-648000000,-250000000,468000000,-66000000.0,2000000.0,32000000.0,1976000000.0,12629000000.0,193000000,1757000000.0,1143000000.0,0,,5000000.0,40000000,271000000,1290000000,22277000000.0,98000000.0,-36000000,-55000000.0,1717000000,112000000.0,321000000.0,759000000.0,-427000000,658000000.0,-698000000,11486000000.0,90000000.0,85000000.0,5929000000.0,,122000000,3483000000.0,122000000,6083000000.0,,,,,,,,,
2013-03-31,97000000,7000000,817000000.0,14661000000.0,,65000000.0,,65000000.0,66000000.0,295000000.0,248000000,2000000,270000000,-274000000.0,0.0,-7816000000.0,-95000000,18769000000.0,17095000000.0,57000000.0,,72000000.0,,-72000000,392000000.0,1907000000.0,137000000,-27000000.0,141000000,65000000,-247000000,-3000000,-142000000,520000000,-57000000.0,4000000.0,25000000.0,1984000000.0,12669000000.0,206000000,1674000000.0,1120000000.0,-113000000,,73000000.0,-4000000,307000000,1308000000,22477000000.0,88000000.0,27000000,44000000.0,753000000,110000000.0,349000000.0,773000000.0,555000000,696000000.0,248000000,11549000000.0,-124000000.0,86000000.0,5929000000.0,,151000000,3496000000.0,151000000,6100000000.0,,,,,,,,,
2013-06-30,119000000,10000000,763000000.0,14756000000.0,,59000000.0,,59000000.0,65000000.0,296000000.0,302000000,8000000,409000000,-244000000.0,0.0,-7916000000.0,-134000000,18838000000.0,17209000000.0,63000000.0,,63000000.0,,-6000000,403000000.0,1907000000.0,65000000,-27000000.0,173000000,59000000,-281000000,-31000000,-143000000,564000000,-63000000.0,2000000.0,28000000.0,2026000000.0,12687000000.0,197000000,1629000000.0,1136000000.0,30000000,,49000000.0,165000000,357000000,1392000000,22672000000.0,80000000.0,-37000000,54000000.0,789000000,115000000.0,380000000.0,786000000.0,603000000,699000000.0,246000000,11551000000.0,31000000.0,86000000.0,5934000000.0,,183000000,3520000000.0,183000000,6151000000.0,,,,,,,,,
2013-09-30,174000000,7000000,672000000.0,14973000000.0,0.0,436000000.0,,436000000.0,65000000.0,250000000.0,442000000,8000000,790000000,-261000000.0,0.0,-8016000000.0,-180000000,19352000000.0,17441000000.0,42000000.0,,87000000.0,,377000000,417000000.0,1907000000.0,59000000,-26000000.0,258000000,436000000,-233000000,-13000000,-142000000,720000000,-42000000.0,2000000.0,147000000.0,2151000000.0,13065000000.0,213000000,1911000000.0,1189000000.0,156000000,,68000000.0,529000000,500000000,1604000000,22989000000.0,77000000.0,28000000,91000000.0,849000000,113000000.0,417000000.0,822000000.0,755000000,727000000.0,255000000,11876000000.0,-16000000.0,85000000.0,5934000000.0,,268000000,3672000000.0,268000000,6287000000.0,,,,,,,,,
2013-12-31,88000000,-28000000,704000000.0,15138000000.0,-250000000.0,295000000.0,,295000000.0,63000000.0,0.0,237000000,1000000,445000000,-328000000.0,0.0,-8114000000.0,-205000000,19251000000.0,17560000000.0,117000000.0,,78000000.0,,-141000000,537000000.0,1907000000.0,436000000,-26000000.0,140000000,295000000,-381000000,-23000000,-217000000,500000000,-118000000.0,2000000.0,-2000000.0,2044000000.0,13064000000.0,200000000,1691000000.0,932000000.0,127000000,15000000.0,11000000.0,117000000,312000000,1314000000,23252000000.0,76000000.0,-52000000,-24000000.0,758000000,114000000.0,341000000.0,828000000.0,556000000,768000000.0,244000000,12132000000.0,144000000.0,85000000.0,6228000000.0,,149000000,3678000000.0,149000000,6187000000.0,,,,,,,,,
2014-03-31,127000000,5000000,603000000.0,15260000000.0,,252000000.0,,252000000.0,62000000.0,,324000000,7000000,352000000,-287000000.0,0.0,-8226000000.0,-140000000,19362000000.0,17713000000.0,56000000.0,,75000000.0,,-43000000,450000000.0,1907000000.0,295000000,-25000000.0,187000000,252000000,-255000000,-32000000,-147000000,596000000,-56000000.0,,25000000.0,2093000000.0,13114000000.0,210000000,1649000000.0,956000000.0,-48000000,0.0,137000000.0,65000000,381000000,1508000000,23486000000.0,81000000.0,32000000,102000000.0,863000000,111000000.0,363000000.0,843000000.0,645000000,783000000.0,264000000,12158000000.0,-139000000.0,86000000.0,6233000000.0,,197000000,3697000000.0,197000000,6248000000.0,,,,,,,,,
2014-06-30,119000000,8000000,612000000.0,15456000000.0,,105000000.0,,105000000.0,63000000.0,81000000.0,302000000,6000000,322000000,-350000000.0,0.0,-8315000000.0,-115000000,19530000000.0,17972000000.0,65000000.0,,73000000.0,,-147000000,520000000.0,1907000000.0,252000000,-25000000.0,173000000,105000000,-354000000,-29000000,-148000000,571000000,-65000000.0,,24000000.0,2130000000.0,13237000000.0,206000000,1558000000.0,1091000000.0,-62000000,0.0,67000000.0,-28000000,357000000,1437000000,23771000000.0,83000000.0,-4000000,-10000000.0,820000000,117000000.0,391000000.0,856000000.0,617000000,806000000.0,260000000,12146000000.0,45000000.0,86000000.0,6180000000.0,,183000000,3719000000.0,183000000,6293000000.0,,,,,,,,,
2014-09-30,183000000,18000000,620000000.0,15660000000.0,,662000000.0,,662000000.0,63000000.0,54000000.0,475000000,1000000,724000000,-329000000.0,0.0,-8430000000.0,227000000,20293000000.0,18174000000.0,57000000.0,,93000000.0,,557000000,518000000.0,1907000000.0,105000000,-25000000.0,282000000,662000000,-394000000,-8000000,-147000000,753000000,-57000000.0,,19000000.0,2273000000.0,13846000000.0,215000000,2119000000.0,1224000000.0,206000000,0.0,146000000.0,395000000,520000000,1669000000,24090000000.0,80000000.0,-65000000,6000000.0,887000000,115000000.0,442000000.0,864000000.0,782000000,805000000.0,262000000,12622000000.0,30000000.0,86000000.0,6577000000.0,,292000000,3742000000.0,292000000,6447000000.0,,,,,,,,,
2014-12-31,83000000,-4000000,674000000.0,15996000000.0,,273000000.0,,273000000.0,67000000.0,454000000.0,211000000,11000000,311000000,-491000000.0,0.0,-8522000000.0,-136000000,20552000000.0,18599000000.0,66000000.0,,82000000.0,,-389000000,691000000.0,1907000000.0,662000000,-29000000.0,119000000,273000000,-564000000,37000000,-108000000,371000000,-67000000.0,,202000000.0,2255000000.0,14115000000.0,93000000,1953000000.0,1604000000.0,-99000000,47000000.0,2000000.0,-180000000,267000000,1328000000,24518000000.0,154000000.0,-72000000,-54000000.0,888000000,120000000.0,345000000.0,744000000.0,440000000,822000000.0,173000000,12511000000.0,221000000.0,87000000.0,6171000000.0,,128000000,3946000000.0,128000000,6437000000.0,,,,,,,,,
2015-03-31,113000000,11000000,678000000.0,16160000000.0,-250000000.0,395000000.0,,395000000.0,65000000.0,734000000.0,292000000,-2000000,290000000,-325000000.0,0.0,-8627000000.0,145000000,20756000000.0,18833000000.0,129000000.0,,116000000.0,,122000000,498000000.0,1907000000.0,273000000,-32000000.0,169000000,395000000,-313000000,-13000000,-153000000,553000000,-129000000.0,,16000000.0,2281000000.0,14282000000.0,196000000,1923000000.0,1689000000.0,-88000000,81000000.0,37000000.0,-35000000,346000000,1401000000,24787000000.0,161000000.0,12000000,12000000.0,803000000,113000000.0,374000000.0,743000000.0,598000000,837000000.0,252000000,12593000000.0,-229000000.0,88000000.0,6193000000.0,,179000000,3961000000.0,179000000,6474000000.0,,,,,,,,,
2015-06-30,122000000,0,664000000.0,16690000000.0,-134000000.0,195000000.0,,195000000.0,69000000.0,600000000.0,329000000,-410000000,307000000,-287000000.0,0.0,-8565000000.0,-194000000,21220000000.0,19349000000.0,149000000.0,,105000000.0,,-200000000,511000000.0,1503000000.0,395000000,-28000000.0,200000000,195000000,-313000000,-39000000,-155000000,589000000,-149000000.0,,44000000.0,2331000000.0,15090000000.0,191000000,1871000000.0,1590000000.0,-96000000,72000000.0,3000000.0,20000000,398000000,1455000000,25255000000.0,190000000.0,-26000000,10000000.0,807000000,129000000.0,393000000.0,742000000.0,648000000,826000000.0,250000000,13500000000.0,17000000.0,88000000.0,6699000000.0,,207000000,4008000000.0,207000000,6130000000.0,,,,,,,,,
2015-09-30,192000000,7000000,597000000.0,16832000000.0,0.0,609000000.0,,609000000.0,71000000.0,600000000.0,491000000,2000000,982000000,-326000000.0,0.0,-8623000000.0,-145000000,21633000000.0,19427000000.0,71000000.0,,118000000.0,0.0,414000000,544000000.0,1503000000.0,195000000,-33000000.0,295000000,609000000,-423000000,32000000,-147000000,760000000,-71000000.0,,25000000.0,2483000000.0,15352000000.0,198000000,2206000000.0,1796000000.0,427000000,128000000.0,105000000.0,656000000,555000000,1695000000,25455000000.0,192000000.0,-97000000,65000000.0,886000000,121000000.0,460000000.0,742000000.0,809000000,781000000.0,254000000,13556000000.0,106000000.0,88000000.0,6699000000.0,,299000000,4035000000.0,299000000,6281000000.0,,,,,,,,,
2015-12-31,79000000,-6000000,637000000.0,17274000000.0,-400000000.0,194000000.0,,194000000.0,69000000.0,200000000.0,204000000,8000000,563000000,-429000000.0,0.0,-8736000000.0,-539000000,21721000000.0,19920000000.0,89000000.0,,334000000.0,0.0,-415000000,688000000.0,1503000000.0,609000000,-32000000.0,120000000,194000000,-439000000,-60000000,-147000000,468000000,-90000000.0,,303000000.0,2461000000.0,15448000000.0,195000000,1801000000.0,1595000000.0,-35000000,,,134000000,264000000,1217000000,26010000000.0,191000000.0,-9000000,-44000000.0,698000000,128000000.0,332000000.0,722000000.0,519000000,808000000.0,255000000,13853000000.0,109000000.0,88000000.0,6649000000.0,,125000000,4311000000.0,125000000,6273000000.0,,,,,,,,,
2016-03-31,103000000,2000000,672000000.0,17404000000.0,-200000000.0,444000000.0,,444000000.0,73000000.0,200000000.0,262000000,225000000,339000000,-313000000.0,0.0,-8791000000.0,279000000,21977000000.0,20057000000.0,105000000.0,,251000000.0,,250000000,529000000.0,1503000000.0,194000000,-33000000.0,155000000,444000000,-368000000,-13000000,-191000000,546000000,-105000000.0,,68000000.0,2425000000.0,15497000000.0,211000000,1920000000.0,1308000000.0,-86000000,64000000.0,11000000.0,26000000,333000000,1331000000,26195000000.0,176000000.0,-55000000,-35000000.0,729000000,120000000.0,311000000.0,705000000.0,602000000,814000000.0,269000000,14189000000.0,-143000000.0,88000000.0,6894000000.0,,159000000,4375000000.0,159000000,6480000000.0,,,,,,,,,
2016-06-30,142000000,2000000,683000000.0,17575000000.0,0.0,343000000.0,,343000000.0,74000000.0,200000000.0,358000000,-1000000,464000000,-332000000.0,0.0,-8889000000.0,-192000000,22156000000.0,20271000000.0,95000000.0,,139000000.0,,-101000000,587000000.0,1503000000.0,444000000,-32000000.0,211000000,343000000,-373000000,-40000000,-191000000,640000000,-95000000.0,,107000000.0,2445000000.0,15651000000.0,208000000,1885000000.0,1324000000.0,-28000000,102000000.0,10000000.0,132000000,430000000,1444000000,26464000000.0,163000000.0,-41000000,3000000.0,745000000,135000000.0,357000000.0,699000000.0,699000000,828000000.0,269000000,14327000000.0,68000000.0,88000000.0,6894000000.0,,216000000,4481000000.0,216000000,6505000000.0,,,,,,,,,
2016-09-30,221000000,2000000,640000000.0,17705000000.0,0.0,556000000.0,,556000000.0,77000000.0,236000000.0,575000000,14000000,732000000,-302000000.0,0.0,-9018000000.0,-178000000,22457000000.0,20346000000.0,75000000.0,,76000000.0,,213000000,542000000.0,1503000000.0,343000000,-31000000.0,350000000,556000000,-341000000,7000000,-192000000,867000000,-75000000.0,,92000000.0,2604000000.0,15774000000.0,215000000,2111000000.0,1361000000.0,64000000,157000000.0,73000000.0,430000000,650000000,1785000000,26723000000.0,148000000.0,-39000000,50000000.0,862000000,124000000.0,440000000.0,695000000.0,923000000,848000000.0,273000000,14413000000.0,-38000000.0,88000000.0,6859000000.0,,354000000,4572000000.0,354000000,6683000000.0,,,,,,,,,
