date,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyFreeCashFlow,quarterlyCurrentLiabilities,quarterlyCurrentAssets,quarterlySellingGeneralAndAdministration,quarterlyGoodwill,quarterlyTotalAssets,quarterlyNetIncomeCommonStockholders,quarterlyTotalNonCurrentAssets,quarterlyDilutedEPS,quarterlyOtherNonCurrentLiabilities,quarterlyDepreciationAndAmortization,quarterlyPurchaseOfInvestment,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyOtherNonCurrentAssets,quarterlyInvestmentsAndAdvances,quarterlyChangeInAccountPayable,quarterlyNetOtherFinancingCharges,quarterlyGrossProfit,quarterlyBasicAverageShares,quarterlyNetIncomeContinuousOperations,quarterlyNetIncome,quarterlyLongTermDebt,quarterlyInvestingCashFlow,quarterlyEndCashPosition,quarterlyInventory,quarterlyOtherIncomeExpense,quarterlyChangeInInventory,quarterlyAccountsReceivable,quarterlyCashDividendsPaid,quarterlyCostOfRevenue,quarterlyCapitalStock,quarterlyBeginningCashPosition,quarterlyPurchaseOfBusiness,quarterlyPretaxIncome,quarterlyOtherIntangibleAssets,quarterlyOperatingExpense,quarterlyBasicEPS,quarterlyStockholdersEquity,quarterlyNetOtherInvestingChanges,quarterlyRepaymentOfDebt,quarterlyAccumulatedDepreciation,quarterlyOtherCurrentAssets,quarterlySaleOfInvestment,quarterlyCashAndCashEquivalents,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyInterestExpense,quarterlyCurrentDebt,quarterlyChangeInWorkingCapital,quarterlyAccountsPayable,quarterlyDeferredIncomeTax,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyTotalRevenue,quarterlyOperatingCashFlow,quarterlyGrossPPE,quarterlyOperatingIncome,quarterlyCapitalExpenditure,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyOtherCurrentLiabilities,quarterlyNetPPE,quarterlyTaxProvision,quarterlyStockBasedCompensation,quarterlyOtherNonCashItems,quarterlyCommonStockIssuance,quarterlyChangeInCashSupplementalAsReported,quarterlyDilutedAverageShares,quarterlyEbitda,quarterlyRepurchaseOfCapitalStock,quarterlyResearchAndDevelopment,quarterlyChangesInAccountReceivables,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyIncomeTaxPayable,quarterlyRetainedEarnings,quarterlyCurrentDeferredRevenue,quarterlyCurrentAccruedExpenses,quarterlyOtherShortTermInvestments,quarterlyNonCurrentDeferredRevenue
2009-03-31,3434000000,362000000,2211000000,2013000000,46000000,1201000000.0,9385000000,180000000,7372000000,0.705,3433000000,58000000,,5645000000,838000000,250000000.0,,-30000000,360000000,248000000.0,211000000,211000000,1000000,-88000000,7000000,688000000,7000000.0,121000000.0,1218000000.0,-110000000.0,2942000000,,11000000,-2000000.0,212000000.0,,104000000,0.71,0,26000000,-544000000.0,-711000000,100000000,,7000000,7000000,51000000,594000000.0,193000000,1484000000.0,,,3302000000,478000000,5794000000,256000000,-116000000,-396000000,133000000,5083000000,1000000.0,11000000.0,-4000000.0,210000000.0,-4000000,250000000.0,321000000,,,,,,,,,,
2009-06-30,3645000000,-303000000,3208000000,2922000000,54000000,1226000000.0,10559000000,102000000,7637000000,0.39,3641000000,56000000,,6853000000,900000000,256000000.0,,-39000000,293000000,258000000.0,136000000,136000000,4000000,-165000000,7000000,995000000,7000000.0,-299000000.0,1674000000.0,-117000000.0,3989000000,,7000000,-3000000.0,134000000.0,,110000000,0.395,0,-56000000,85000000.0,-773000000,246000000,,7000000,7000000,56000000,938000000.0,-396000000,1927000000.0,,,4282000000,-191000000,6028000000,183000000,-112000000,358000000,343000000,5255000000,-2000000.0,19000000.0,3000000.0,0.0,0,260000000.0,246000000,,,,,,,,,,
2009-09-30,4407000000,-66000000,2859000000,3024000000,52000000,1270000000.0,11493000000,88000000,8469000000,0.325,4400000000,59000000,,7266000000,934000000,68000000.0,,-38000000,277000000,260000000.0,122000000,122000000,7000000,-184000000,16000000,1174000000,17000000.0,-171000000.0,1641000000.0,,4580000000,,7000000,-116000000.0,124000000.0,,111000000,0.325,0,64000000,-796000000.0,-840000000,193000000,,16000000,16000000,59000000,692000000.0,-97000000,1827000000.0,,,4857000000,60000000,7037000000,166000000,-126000000,136000000,340000000,6197000000,2000000.0,17000000.0,-27000000.0,248000000.0,9000000,262000000.0,242000000,,,,,,,,,,
2009-12-31,4417000000,-97000000,3782000000,3658000000,58000000,1287000000.0,12358000000,73000000,8700000000,,0,63000000,,8199000000,870000000,203000000.0,,95000000,294000000,,110000000,110000000,4142000000,-223000000,25000000,1157000000,1000000.0,30000000.0,2253000000.0,,5784000000,,16000000,-102000000.0,115000000.0,,121000000,,0,-8000000,360000000.0,-900000000,223000000,,25000000,25000000,59000000,1074000000.0,-161000000,2295000000.0,,,6078000000,18000000,7240000000,173000000,-115000000,214000000,413000000,6340000000,5000000.0,21000000.0,22000000.0,0.0,9000000,,237000000,,,,,,,,,,
2010-03-31,4397000000,287000000,3496000000,3341000000,62000000,1297000000.0,12102000000,112000000,8761000000,0.4,4389000000,67000000,,7893000000,1052000000,205000000.0,-95000000.0,-39000000,340000000,272000000.0,151000000,151000000,8000000,-108000000,16000000,1244000000,-2000000.0,-89000000.0,2049000000.0,-126000000.0,5785000000,,25000000,,151000000.0,,129000000,0.4,0,-4000000,-227000000.0,-966000000,32000000,0.0,16000000,16000000,58000000,951000000.0,157000000,2401000000.0,,,6125000000,391000000,7378000000,211000000,-104000000,-292000000,144000000,6412000000,0.0,19000000.0,-3000000.0,0.0,-9000000,274000000.0,276000000,,,,,,,,,,
2010-06-30,4576000000,-219000000,3377000000,3498000000,56000000,1285000000.0,12368000000,90000000,8870000000,0.325,226000000,64000000,,7953000000,1175000000,,,-45000000,312000000,272000000.0,133000000,131000000,4350000000,-2000000,15000000,1483000000,3000000.0,,1937000000.0,-127000000.0,5812000000,,16000000,,133000000.0,,120000000,0.325,0,-159000000,77000000.0,-1007000000,63000000,268000000.0,15000000,15000000,62000000,1025000000.0,-313000000,2181000000.0,,,6124000000,-108000000,7417000000,192000000,-111000000,110000000,171000000,6410000000,0.0,14000000.0,11000000.0,0.0,-1000000,274000000.0,259000000,,,,,,,,,,
2010-09-30,4827000000,72000000,3567000000,3771000000,56000000,1294000000.0,12737000000,40000000,8966000000,0.14,0,61000000,,8394000000,936000000,204000000.0,,19000000,267000000,272000000.0,84000000,81000000,4593000000,-117000000,13000000,1556000000,-6000000.0,,2144000000.0,-254000000.0,6147000000,,15000000,-197000000.0,80000000.0,,117000000,0.14,0,188000000,-25000000.0,-1067000000,58000000,0.0,13000000,13000000,64000000,895000000.0,21000000,2485000000.0,,,6414000000,180000000,7599000000,150000000,-108000000,-65000000,187000000,6532000000,-4000000.0,17000000.0,17000000.0,0.0,-2000000,274000000.0,205000000,,,,,,,,,,
2010-12-31,4915000000,-332000000,4215000000,4381000000,86000000,1376000000.0,13703000000,97000000,9322000000,,284000000,64000000,,9130000000,519000000,736000000.0,,-619000000,364000000,,146000000,142000000,4631000000,-356000000,36000000,1491000000,0.0,,2746000000.0,497000000.0,6867000000,,13000000,-210000000.0,149000000.0,,150000000,,0,-20000000,0.0,-1123000000,88000000,0.0,36000000,36000000,65000000,1326000000.0,-470000000,2738000000.0,,,7231000000,-204000000,7814000000,214000000,-128000000,583000000,151000000,6691000000,3000000.0,48000000.0,48000000.0,296000000.0,23000000,,278000000,,,,,,,,,,
2011-03-31,5276000000,533000000,4051000000,4607000000,70000000,1693000000.0,14745000000,133000000,10138000000,0.45,300000000,63000000,,9327000000,1112000000,196000000.0,,361000000,418000000,286000000.0,185000000,182000000,4976000000,-842000000,19000000,1386000000,-22000000.0,,3127000000.0,-184000000.0,7276000000,,36000000,-756000000.0,198000000.0,,133000000,0.45,0,35000000,-1106000000.0,-1174000000,73000000,,19000000,19000000,65000000,474000000.0,384000000,,,,7694000000,654000000,8311000000,285000000,-121000000,171000000,126000000,7137000000,13000000.0,20000000.0,3000000.0,503000000.0,-17000000,288000000.0,326000000,,,,,,,,,,
2011-06-30,5247000000,152000000,3983000000,4633000000,73000000,1692000000.0,14913000000,171000000,10280000000,0.565,252000000,63000000,,9230000000,1117000000,195000000.0,,-194000000,434000000,298000000.0,233000000,225000000,4995000000,-185000000,23000000,1452000000,6000000.0,,3047000000.0,-214000000.0,8425000000,,19000000,5000000.0,242000000.0,,136000000,0.57,0,-24000000,280000000.0,-1222000000,111000000,,23000000,23000000,62000000,536000000.0,-4000000,3265000000.0,,,8859000000,318000000,8498000000,298000000,-166000000,-128000000,182000000,7276000000,9000000.0,26000000.0,14000000.0,0.0,4000000,300000000.0,367000000,,,,,,,,,,
2011-09-30,4832000000,615000000,4126000000,4190000000,56000000,1663000000.0,14443000000,224000000,10253000000,0.735,332000000,65000000,,8958000000,1125000000,194000000.0,,170000000,478000000,298000000.0,288000000,281000000,4500000000,-158000000,14000000,1086000000,-1000000.0,,2988000000.0,-186000000.0,8359000000,,23000000,-7000000.0,294000000.0,,121000000,0.74,0,14000000,-609000000.0,-1240000000,102000000,,14000000,14000000,62000000,619000000.0,405000000,3287000000.0,,,8837000000,780000000,8511000000,357000000,-165000000,-625000000,220000000,7271000000,6000000.0,10000000.0,-8000000.0,0.0,-9000000,300000000.0,421000000,,,,,,,,,,
2011-12-31,4896000000,408000000,4511000000,4351000000,95000000,1854000000.0,15381000000,202000000,11030000000,,376000000,58000000,,9407000000,1245000000,191000000.0,,-21000000,512000000,,288000000,278000000,4520000000,-835000000,26000000,978000000,9000000.0,,3190000000.0,-207000000.0,8373000000,,14000000,-632000000.0,305000000.0,,153000000,,0,-5000000,79000000.0,-1289000000,157000000,,26000000,26000000,63000000,679000000.0,217000000,3599000000.0,,,8885000000,613000000,9029000000,359000000,-205000000,237000000,233000000,7740000000,17000000.0,54000000.0,987000000.0,386000000.0,12000000,,426000000,,,,,,,,,,
2012-03-31,6126000000,54000000,4442000000,4166000000,94000000,1879000000.0,17081000000,162000000,12915000000,0.51,332000000,60000000,,10568000000,2869000000,192000000.0,,-21000000,467000000,314000000.0,237000000,230000000,5794000000,-1890000000,14000000,1079000000,9000000.0,,2902000000.0,-225000000.0,8751000000,,26000000,-21000000.0,257000000.0,,154000000,0.515,0,-1606000000,-80000000.0,-1337000000,171000000,,14000000,14000000,65000000,757000000.0,20000000,,,,9218000000,317000000,9312000000,313000000,-263000000,1560000000,196000000,7975000000,20000000.0,39000000.0,-4000000.0,455000000.0,-12000000,316000000.0,382000000,,,,,,,,,,
2012-06-30,6347000000,-230000000,4814000000,4676000000,89000000,2112000000.0,17806000000,303000000,13130000000,0.925,554000000,86000000,,11161000000,1581000000,193000000.0,,-13000000,637000000,324000000.0,386000000,378000000,5793000000,-148000000,12000000,1172000000,9000000.0,,3174000000.0,-238000000.0,9149000000,,14000000,-1513000000.0,396000000.0,,175000000,0.93,0,1607000000,80000000.0,-1388000000,318000000,,12000000,12000000,75000000,997000000.0,-600000000,3268000000.0,,,9786000000,31000000,10632000000,462000000,-261000000,118000000,549000000,9244000000,10000000.0,21000000.0,129000000.0,80000000.0,-2000000,326000000.0,557000000,,,,,,,,,,
2012-09-30,6376000000,204000000,4886000000,4813000000,81000000,2119000000.0,18187000000,89000000,13374000000,0.27,565000000,210000000,,11262000000,1618000000,289000000.0,,-13000000,538000000,329000000.0,173000000,165000000,5811000000,-338000000,32000000,1320000000,13000000.0,,3319000000.0,-247000000.0,8816000000,,12000000,-27000000.0,186000000.0,,291000000,0.27,0,-40000000,-500000000.0,-1452000000,142000000,,32000000,32000000,74000000,834000000.0,127000000,3707000000.0,,,9354000000,532000000,10800000000,247000000,-328000000,-177000000,345000000,9348000000,13000000.0,22000000.0,11000000.0,277000000.0,20000000,331000000.0,470000000,,,,,,,,,,
2012-12-31,6906000000,8000000,5183000000,5147000000,78000000,2535000000.0,19235000000,230000000,14088000000,0.69,586000000,126000000,,12089000000,1015000000,343000000.0,,-304000000,124000000,334000000.0,330000000,320000000,6320000000,-1016000000,24000000,1209000000,13000000.0,,3563000000.0,26000000.0,9315000000,,32000000,-671000000.0,341000000.0,473000000.0,-278000000,0.7,0,24000000,0.0,-1499000000,351000000,4000000.0,24000000,24000000,74000000,1086000000.0,-13000000,3822000000.0,,,9439000000,360000000,11142000000,402000000,-352000000,650000000,275000000,9643000000,11000000.0,19000000.0,-137000000.0,167000000.0,-8000000,337000000.0,541000000,,,,,,,,,,
2013-03-31,6929000000,616000000,5022000000,5140000000,106000000,2520000000.0,19440000000,430000000,14300000000,1.27,598000000,82000000,,11951000000,1505000000,392000000.0,,-97000000,761000000,336000000.0,536000000,528000000,6331000000,-444000000,24000000,1031000000,11000000.0,,3701000000.0,-189000000.0,9859000000,,24000000,-79000000.0,589000000.0,,106000000,1.28,0,-2000000,-407000000.0,-1548000000,384000000,,24000000,24000000,77000000,689000000.0,311000000,4073000000.0,,,10620000000,979000000,11431000000,655000000,-363000000,-535000000,260000000,9883000000,53000000.0,51000000.0,-1000000.0,131000000.0,0,339000000.0,748000000,,,,,,,,,,
2013-06-30,6871000000,-64000000,4924000000,4841000000,91000000,2503000000.0,19424000000,196000000,14583000000,0.57,558000000,91000000,,11795000000,1457000000,442000000.0,,-104000000,474000000,340000000.0,300000000,292000000,6313000000,-488000000,16000000,892000000,10000000.0,,3503000000.0,-195000000.0,9821000000,,24000000,-64000000.0,318000000.0,,91000000,0.58,0,-2000000,221000000.0,-1581000000,430000000,,16000000,16000000,75000000,902000000.0,-70000000,3734000000.0,,,10295000000,358000000,11762000000,383000000,-422000000,125000000,288000000,10181000000,18000000.0,27000000.0,0.0,230000000.0,-8000000,342000000.0,484000000,,,,,,,,,,
2013-09-30,7572000000,-175000000,5011000000,5145000000,79000000,2519000000.0,20267000000,132000000,15122000000,0.38,554000000,92000000,,12583000000,1522000000,474000000.0,,-131000000,375000000,343000000.0,237000000,231000000,7018000000,-408000000,33000000,1198000000,22000000.0,,3562000000.0,-201000000.0,10328000000,,16000000,-9000000.0,246000000.0,,79000000,0.38,0,33000000,-278000000.0,-1638000000,352000000,,33000000,33000000,72000000,619000000.0,-89000000,4049000000.0,-7000000.0,,10703000000,257000000,12245000000,296000000,-432000000,168000000,343000000,10607000000,9000000.0,18000000.0,-6000000.0,79000000.0,17000000,345000000.0,410000000,,,,,,,,,,
2013-12-31,7246000000,-36000000,5411000000,4964000000,83000000,2503000000.0,20360000000,201000000,15396000000,0.58,531000000,110000000,,12657000000,1069000000,485000000.0,,-113000000,478000000,344000000.0,317000000,309000000,6715000000,-313000000,41000000,1065000000,21000000.0,,3638000000.0,-206000000.0,10154000000,,33000000,-9000000.0,337000000.0,420000000.0,83000000,0.59,0,92000000,-920000000.0,-1654000000,220000000,0.0,41000000,41000000,79000000,1113000000.0,-78000000,3983000000.0,,,10632000000,360000000,12473000000,395000000,-396000000,-39000000,315000000,10819000000,20000000.0,20000000.0,-3000000.0,90000000.0,8000000,346000000.0,526000000,,,,,,,,,,
2014-03-31,7365000000,354000000,5554000000,4932000000,89000000,2485000000.0,20702000000,266000000,15770000000,0.73,547000000,96000000,,12919000000,1627000000,506000000.0,,-109000000,582000000,360000000.0,385000000,384000000,6818000000,-524000000,30000000,914000000,18000000.0,,3703000000.0,-221000000.0,11102000000,,41000000,-26000000.0,433000000.0,,89000000,0.74,0,-30000000,-128000000.0,-1713000000,285000000,,30000000,30000000,78000000,879000000.0,254000000,4334000000.0,12000000.0,,11684000000,822000000,12865000000,493000000,-468000000,-307000000,341000000,11152000000,48000000.0,34000000.0,4000000.0,151000000.0,-11000000,363000000.0,607000000,,,,,,,,,,
2014-06-30,7960000000,-309000000,5423000000,5168000000,90000000,2502000000.0,21495000000,165000000,16327000000,0.45,546000000,100000000,,13383000000,1667000000,545000000.0,,-124000000,455000000,365000000.0,288000000,287000000,7414000000,-577000000,27000000,1096000000,27000000.0,,3730000000.0,-229000000.0,10740000000,,30000000,-43000000.0,310000000.0,,90000000,0.45,0,-84000000,-216000000.0,-1797000000,315000000,,27000000,27000000,82000000,763000000.0,-274000000,4301000000.0,6000000.0,,11195000000,141000000,13410000000,365000000,-450000000,431000000,359000000,11613000000,22000000.0,34000000.0,1000000.0,302000000.0,-3000000,367000000.0,492000000,,,,,,,,,,
2014-09-30,8139000000,-191000000,5568000000,5160000000,78000000,2481000000.0,21837000000,194000000,16677000000,0.52,526000000,97000000,,13707000000,1649000000,582000000.0,,-132000000,482000000,370000000.0,324000000,323000000,7613000000,-563000000,34000000,1314000000,25000000.0,,3522000000.0,-238000000.0,10645000000,,27000000,-39000000.0,344000000.0,,78000000,0.52,0,-18000000,344000000.0,-1851000000,290000000,,34000000,34000000,85000000,976000000.0,-152000000,4169000000.0,10000000.0,,11127000000,315000000,13816000000,404000000,-506000000,256000000,423000000,11965000000,20000000.0,22000000.0,5000000.0,202000000.0,7000000,371000000.0,526000000,,,,,,,,,,
2014-12-31,9310000000,218000000,4755000000,4179000000,68000000,2465000000.0,22256000000,253000000,18077000000,0.67,548000000,99000000,,14065000000,1120000000,1735000000.0,,-139000000,598000000,373000000.0,390000000,390000000,8762000000,-1632000000,403000000,891000000,35000000.0,,2615000000.0,-246000000.0,8861000000,,34000000,-1148000000.0,471000000.0,366000000.0,68000000,0.67,0,24000000,-366000000.0,-1906000000,270000000,,403000000,403000000,94000000,1287000000.0,-95000000,2986000000.0,72000000.0,,9459000000,726000000,14178000000,530000000,-508000000,1277000000,482000000,12272000000,81000000.0,8000000.0,1000000.0,193000000.0,369000000,375000000.0,664000000,,,,,,,,,,
2015-03-31,9357000000,291000000,3531000000,3453000000,78000000,2435000000.0,21724000000,136000000,18271000000,0.35,594000000,107000000,,12888000000,1568000000,1784000000.0,,-139000000,447000000,383000000.0,284000000,283000000,8763000000,-666000000,458000000,929000000,33000000.0,,1817000000.0,-254000000.0,5495000000,,403000000,-129000000.0,300000000.0,,78000000,0.36,0,-96000000,-734000000.0,-1952000000,249000000,,458000000,458000000,102000000,553000000.0,343000000,2491000000.0,-26000000.0,,5942000000,732000000,14436000000,369000000,-441000000,-6000000,487000000,12484000000,16000000.0,19000000.0,-9000000.0,1099000000.0,55000000,385000000.0,509000000,,,,,,,,,,
2015-06-30,9705000000,-662000000,4474000000,3944000000,79000000,2442000000.0,22884000000,-23000000,18940000000,-0.06,568000000,110000000,,14179000000,1629000000,1841000000.0,,-150000000,288000000,397000000.0,124000000,124000000,9137000000,-677000000,28000000,941000000,53000000.0,,2688000000.0,-272000000.0,6375000000,,458000000,-54000000.0,157000000.0,,79000000,-0.06,0,-33000000,585000000.0,-2049000000,287000000,,28000000,28000000,105000000,915000000.0,-303000000,3117000000.0,14000000.0,,6663000000,-72000000,15077000000,209000000,-590000000,315000000,442000000,13028000000,33000000.0,17000000.0,-2000000.0,0.0,-430000000,400000000.0,372000000,,,,,,,,,,
2015-09-30,10523000000,-24000000,3478000000,2958000000,60000000,2417000000.0,22217000000,98000000,19259000000,0.24,553000000,109000000,-94000000.0,14001000000,1538000000,1954000000.0,,-162000000,393000000,398000000.0,250000000,249000000,9970000000,-726000000,22000000,837000000,41000000.0,,1844000000.0,-276000000.0,5158000000,,28000000,-134000000.0,267000000.0,,60000000,0.25,0,-6000000,-400000000.0,-2101000000,255000000,,22000000,22000000,107000000,681000000.0,206000000,2363000000.0,6000000.0,,5551000000,562000000,15451000000,333000000,-586000000,160000000,434000000,13350000000,17000000.0,-9000000.0,-1000000.0,0.0,-6000000,399000000.0,483000000,,,,,,,,,,
2015-12-31,10942000000,-340000000,3407000000,2969000000,61000000,2405000000.0,22288000000,94000000,19319000000,0.24,567000000,106000000,-40000000.0,14349000000,1121000000,2027000000.0,,-156000000,412000000,398000000.0,247000000,246000000,10375000000,-461000000,27000000,916000000,49000000.0,,1785000000.0,-279000000.0,4584000000,,22000000,-41000000.0,281000000.0,283000000.0,61000000,0.24,0,42000000,0.0,-2180000000,241000000,,27000000,27000000,119000000,999000000.0,-362000000,2038000000.0,22000000.0,,4996000000,122000000,15654000000,351000000,-462000000,345000000,370000000,13474000000,34000000.0,0.0,-9000000.0,0.0,5000000,399000000.0,506000000,,,,,,,,,,
2016-03-31,9863000000,263000000,3063000000,2780000000,67000000,2405000000.0,22297000000,28000000,19517000000,0.07,710000000,114000000,-75000000.0,12926000000,1345000000,2097000000.0,,-157000000,349000000,398000000.0,203000000,202000000,9153000000,-287000000,36000000,877000000,52000000.0,,1549000000.0,-278000000.0,3762000000,,27000000,-160000000.0,222000000.0,,67000000,0.07,0,245000000,-1511000000.0,-2205000000,318000000,,36000000,36000000,112000000,715000000.0,318000000,1979000000.0,-12000000.0,,4111000000,635000000,15875000000,282000000,-372000000,-343000000,369000000,13670000000,19000000.0,4000000.0,3000000.0,0.0,9000000,399000000.0,448000000,,,,,,,,,,
2016-06-30,10164000000,-575000000,4029000000,3603000000,73000000,2396000000.0,23163000000,-81000000,19560000000,-0.2,678000000,205000000,-45000000.0,14193000000,1405000000,2161000000.0,,-158000000,219000000,398000000.0,102000000,101000000,9486000000,-235000000,34000000,1085000000,65000000.0,,2015000000.0,-279000000.0,4731000000,,36000000,-45000000.0,97000000.0,,73000000,-0.2,0,137000000,667000000.0,-2251000000,469000000,,34000000,34000000,114000000,1302000000.0,-499000000,2332000000.0,-15000000.0,,4950000000,-248000000,15849000000,146000000,-327000000,481000000,395000000,13598000000,-5000000.0,22000000.0,3000000.0,0.0,-2000000,398000000.0,416000000,,,,,,,,,,
2016-09-30,10356000000,-76000000,4077000000,3773000000,70000000,2353000000.0,23507000000,162000000,19734000000,0.4,722000000,32000000,-51000000.0,14433000000,1354000000,2216000000.0,,-161000000,419000000,401000000.0,298000000,297000000,9634000000,-332000000,31000000,1258000000,63000000.0,,1946000000.0,-278000000.0,4751000000,,34000000,-248000000.0,299000000.0,,70000000,0.4,0,247000000,52000000.0,-2292000000,538000000,,31000000,31000000,113000000,1384000000.0,-83000000,2280000000.0,-3000000.0,,5170000000,255000000,16103000000,349000000,-331000000,74000000,413000000,13811000000,1000000.0,14000000.0,7000000.0,283000000.0,-3000000,402000000.0,444000000,,,,,,,,,,
2016-12-31,10730000000,-220000000,4664000000,4272000000,69000000,2344000000.0,24210000000,90000000,19938000000,0.14,606000000,143000000,-130000000.0,15394000000,1136000000,2343000000.0,,-120000000,286000000,660000000.0,128000000,127000000,10124000000,-419000000,47000000,1343000000,49000000.0,,2279000000.0,-227000000.0,5665000000,,31000000,-130000000.0,138000000.0,242000000.0,69000000,0.14,0,15000000,-589000000.0,-2348000000,603000000,,47000000,47000000,128000000,1715000000.0,-222000000,2588000000.0,-30000000.0,,5951000000,84000000,16220000000,217000000,-304000000,351000000,361000000,13872000000,10000000.0,20000000.0,10000000.0,513000000.0,16000000,662000000.0,409000000,,,,,,,,,,
2017-03-31,10523000000,541000000,4156000000,4210000000,74000000,2596000000.0,25269000000,406000000,21059000000,0.58,644000000,121000000,-123000000.0,14679000000,1934000000,2469000000.0,,125000000,665000000,691000000.0,444000000,444000000,9879000000,-1491000000,38000000,1219000000,48000000.0,,2218000000.0,-371000000.0,6002000000,,47000000,-1377000000.0,510000000.0,,74000000,0.59,0,161000000,-901000000.0,-2408000000,735000000,,38000000,38000000,129000000,1341000000.0,177000000,2474000000.0,56000000.0,,6667000000,816000000,16468000000,591000000,-275000000,666000000,341000000,14060000000,66000000.0,12000000.0,10000000.0,1664000000.0,-9000000,758000000.0,760000000,,,,,,,,,,
2017-06-30,10746000000,371000000,3757000000,3528000000,68000000,2596000000.0,25004000000,148000000,21476000000,0.21,706000000,129000000,-127000000.0,14503000000,1932000000,2626000000.0,,-2000000,325000000,725000000.0,189000000,188000000,10040000000,-163000000,47000000,936000000,69000000.0,,2088000000.0,-399000000.0,5753000000,,38000000,-154000000.0,199000000.0,,68000000,0.21,0,244000000,51000000.0,-2528000000,457000000,,47000000,47000000,127000000,1114000000.0,288000000,2349000000.0,9000000.0,,6078000000,645000000,16850000000,257000000,-274000000,-474000000,294000000,14322000000,10000000.0,10000000.0,4000000.0,0.0,9000000,727000000.0,455000000,,,,,,,,,,
2017-09-30,11187000000,228000000,4016000000,4015000000,68000000,2598000000.0,25483000000,-8000000,21468000000,-0.01,698000000,151000000,-106000000.0,15203000000,1930000000,2671000000.0,,-82000000,112000000,725000000.0,34000000,33000000,10489000000,-309000000,33000000,884000000,79000000.0,,2287000000.0,-398000000.0,5761000000,,47000000,-107000000.0,-11000000.0,,68000000,-0.01,0,27000000,342000000.0,-2597000000,811000000,0.0,33000000,33000000,134000000,918000000.0,305000000,2713000000.0,-44000000.0,,5873000000,457000000,16866000000,44000000,-229000000,-163000000,385000000,14269000000,-45000000.0,11000000.0,5000000.0,0.0,-14000000,725000000.0,274000000,,,,,,,,,,
2017-12-31,9862000000,335000000,4531000000,4000000000,66000000,2566000000.0,25351000000,138000000,21351000000,0.19,679000000,225000000,-60000000.0,14393000000,1096000000,2756000000.0,,-46000000,327000000,725000000.0,191000000,191000000,9183000000,393000000,37000000,713000000,64000000.0,,3029000000.0,-218000000.0,7278000000,,33000000,-58000000.0,205000000.0,844000000.0,66000000,0.19,-57000000,697000000,-1532000000.0,-2773000000,221000000,0.0,37000000,37000000,120000000,737000000.0,171000000,3457000000.0,-5000000.0,,7605000000,581000000,16862000000,261000000,-246000000,-972000000,337000000,14089000000,14000000.0,8000000.0,-9000000.0,0.0,4000000,726000000.0,550000000,,,,,,,,,,
2018-03-31,9786000000,255000000,4601000000,3962000000,79000000,2543000000.0,25423000000,237000000,21461000000,0.33,736000000,127000000,-40000000.0,14387000000,1922000000,2882000000.0,,63000000,460000000,725000000.0,288000000,288000000,9050000000,-221000000,23000000,620000000,74000000.0,,3023000000.0,-218000000.0,7938000000,,37000000,-40000000.0,349000000.0,,79000000,0.33,-57000000,85000000,-506000000.0,-2823000000,296000000,,23000000,23000000,106000000,774000000.0,-4000000,3571000000.0,48000000.0,,8398000000,521000000,16937000000,381000000,-266000000,-311000000,256000000,14114000000,61000000.0,17000000.0,11000000.0,0.0,-14000000,727000000.0,582000000,,,,,,,,,,
2018-06-30,9753000000,36000000,5122000000,3852000000,80000000,2535000000.0,25699000000,50000000,21847000000,0.07,787000000,48000000,-176000000.0,14875000000,1939000000,3116000000.0,,-3000000,168000000,725000000.0,100000000,100000000,8966000000,-285000000,34000000,636000000,107000000.0,,2824000000.0,-279000000.0,7912000000,,23000000,-176000000.0,84000000.0,,80000000,0.07,-57000000,340000000,308000000.0,-2919000000,358000000,,34000000,34000000,111000000,943000000.0,333000000,3555000000.0,-23000000.0,,8080000000,494000000,17176000000,88000000,-458000000,-198000000,624000000,14257000000,-16000000.0,19000000.0,2000000.0,,11000000,727000000.0,243000000,,,,,,,,,,
2018-09-30,9921000000,-181000000,4656000000,4127000000,74000000,2540000000.0,25927000000,658000000,21800000000,0.87,781000000,131000000,-84000000.0,14577000000,2044000000,2539000000.0,,-80000000,567000000,726000000.0,710000000,710000000,9140000000,322000000,29000000,824000000,317000000.0,,2954000000.0,-256000000.0,8225000000,,34000000,-84000000.0,700000000.0,,74000000,0.91,-57000000,865000000,-344000000.0,-3035000000,320000000,1000000.0,29000000,29000000,110000000,429000000.0,-366000000,3612000000.0,-24000000.0,,8792000000,279000000,17712000000,493000000,-460000000,-606000000,615000000,14677000000,-10000000.0,23000000.0,4000000.0,,-5000000,799000000.0,941000000,,,,,,,,,,
