date,annualInventory,quarterlyNetPPE,quarterlyInventory,quarterlyTaxProvision,annualChangeInInventory,quarterlyRepaymentOfDebt,quarterlyCurrentDebt,trailingDepreciationAndAmortization,quarterlyInterestExpense,trailingChangeInInventory,quarterlyDilutedAverageShares,annualCurrentLiabilities,annualGrossProfit,annualNetPPE,annualOtherNonCashItems,quarterlyCommonStockIssuance,annualTotalNonCurrentAssets,quarterlyCashAndCashEquivalents,quarterlyCashCashEquivalentsAndMarketableSecurities,annualOperatingCashFlow,quarterlyNetOtherFinancingCharges,quarterlyResearchAndDevelopment,quarterlyBasicEPS,annualBasicEPS,trailingOtherNonCashItems,quarterlyPretaxIncome,annualCashCashEquivalentsAndMarketableSecurities,quarterlyOtherIntangibleAssets,annualNonCurrentDeferredTaxesLiabilities,quarterlyPurchaseOfBusiness,annualOtherNonCurrentLiabilities,annualPurchaseOfBusiness,quarterlyCapitalExpenditure,quarterlyOtherNonCurrentAssets,trailingCashDividendsPaid,annualNonCurrentDeferredRevenue,trailingInterestExpense,trailingPurchaseOfInvestment,quarterlyTotalNonCurrentAssets,annualInterestExpense,trailingBeginningCashPosition,annualPretaxIncome,quarterlyTotalAssets,trailingNetIncome,annualGoodwill,annualGrossPPE,trailingInvestingCashFlow,trailingCapitalExpenditure,trailingOperatingExpense,quarterlySaleOfInvestment,annualChangeInWorkingCapital,quarterlyOtherCurrentLiabilities,quarterlyBeginningCashPosition,quarterlyChangeInCashSupplementalAsReported,quarterlyOtherShortTermInvestments,trailingChangeInCashSupplementalAsReported,quarterlyCapitalStock,quarterlyAccountsPayable,trailingRepaymentOfDebt,trailingChangeInWorkingCapital,annualBasicAverageShares,annualTotalRevenue,trailingNetOtherFinancingCharges,annualOtherCurrentLiabilities,annualInvestingCashFlow,annualCapitalStock,trailingResearchAndDevelopment,annualChangeInCashSupplementalAsReported,annualCapitalExpenditure,trailingGrossProfit,annualPurchaseOfInvestment,annualRepaymentOfDebt,quarterlyNetIncomeCommonStockholders,annualCurrentDebt,annualTaxProvision,trailingEndCashPosition,trailingTaxProvision,annualNetOtherFinancingCharges,trailingTotalRevenue,trailingCostOfRevenue,quarterlyInvestingCashFlow,trailingOperatingIncome,annualEndCashPosition,quarterlyDilutedEPS,quarterlyEndCashPosition,annualAccountsPayable,annualTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyPurchaseOfInvestment,annualOperatingIncome,quarterlyEbitda,trailingNetIncomeContinuousOperations,annualOtherCurrentAssets,annualResearchAndDevelopment,annualTotalLiabilitiesNetMinorityInterest,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyNonCurrentDeferredRevenue,quarterlyRetainedEarnings,annualDilutedAverageShares,quarterlyCurrentAssets,trailingFreeCashFlow,quarterlyOperatingIncome,quarterlyGrossPPE,quarterlyCurrentLiabilities,annualFreeCashFlow,annualNetOtherInvestingChanges,annualCashAndCashEquivalents,quarterlyTotalRevenue,annualCostOfRevenue,annualBeginningCashPosition,annualOperatingExpense,quarterlyFreeCashFlow,trailingSellingGeneralAndAdministration,annualNetIncomeContinuousOperations,annualNetIncome,trailingPretaxIncome,quarterlyOtherCurrentAssets,annualDilutedEPS,quarterlyBasicAverageShares,annualLongTermDebt,quarterlyNetOtherInvestingChanges,annualCashDividendsPaid,quarterlyAccountsReceivable,annualTotalAssets,quarterlyCostOfRevenue,annualNetIncomeCommonStockholders,annualEbitda,annualCurrentAssets,annualSellingGeneralAndAdministration,quarterlyOtherNonCurrentLiabilities,trailingNetOtherInvestingChanges,annualOtherNonCurrentAssets,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,trailingSaleOfInvestment,quarterlyGrossProfit,annualOtherIntangibleAssets,annualStockholdersEquity,annualOtherShortTermInvestments,quarterlyCashDividendsPaid,annualSaleOfInvestment,annualCommonStockIssuance,annualDepreciationAndAmortization,quarterlyNetIncomeContinuousOperations,quarterlyOperatingExpense,trailingCommonStockIssuance,quarterlyNetIncome,quarterlyGoodwill,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlySellingGeneralAndAdministration,annualAccountsReceivable,trailingOperatingCashFlow,quarterlyStockholdersEquity,quarterlyLongTermDebt,annualRetainedEarnings,trailingNetIncomeCommonStockholders,trailingRepurchaseOfCapitalStock,quarterlyDepreciationAndAmortization,quarterlyIncomeTaxPayable,trailingDeferredIncomeTax,annualDeferredIncomeTax,quarterlyChangeInWorkingCapital,trailingChangeInAccountPayable,annualStockBasedCompensation,quarterlyOtherIncomeExpense,quarterlyOtherNonCashItems,quarterlyInvestmentsAndAdvances,quarterlyChangeInAccountPayable,annualCashFlowFromContinuingFinancingActivities,annualCurrentAccruedExpenses,quarterlyRepurchaseOfCapitalStock,annualChangesInAccountReceivables,annualInvestmentsAndAdvances,quarterlyChangesInAccountReceivables,trailingBasicEPS,trailingBasicAverageShares,trailingStockBasedCompensation,quarterlyDeferredIncomeTax,annualCurrentDeferredRevenue,trailingChangesInAccountReceivables,annualRepurchaseOfCapitalStock,annualAccumulatedDepreciation,quarterlyOperatingCashFlow,annualGainsLossesNotAffectingRetainedEarnings,trailingCashFlowFromContinuingFinancingActivities,trailingPurchaseOfBusiness,quarterlyCurrentDeferredRevenue,annualOtherIncomeExpense,annualChangeInAccountPayable,quarterlyGainsLossesNotAffectingRetainedEarnings,trailingDilutedEPS,quarterlyStockBasedCompensation,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCurrentAccruedExpenses,annualIncomeTaxPayable,trailingOtherIncomeExpense,quarterlyChangeInInventory,trailingDilutedAverageShares,quarterlyAccumulatedDepreciation
2014-09-30,,59692733319.02,135569921939.25,831568467.2,,-24282080268.34,83719339050.77,,2078360910.65,,16476092708.0,,,,,0.0,,74923250824.47,75140326907.76,,-43062880.24,,0.24,,,4799669224.93,,83993926253.0,,0.0,,,-14098481951.69,1331316777.49,,,,,248537348723.2,,,,609051877309.22,,,,,,,2047789966.21,,24254446857.33,72750910114.0,-2076720993.64,217076083.29,,16174735425.0,129739187680.75,,,,,,,,,,,,,,,3954262249.85,,,,,,,,-12022455648.34,,,0.24,70674189120.73,,,-79808380.56,,6878030135.58,,,,,494575877560.96,,54705206998.34,,360514528586.02,,5455372980.43,59692733319.02,340304526267.48,,,,93881016906.6,,,,-13522337736.21,,,,,30372055194.35,,16476092708.0,,0.0,,62593123888.85,,82067620189.83,,,,,6071853217.74,,,154271351293.48,,11813396716.77,,,,-4824185983.44,,,,3968100757.73,6358023736.34,,3954262249.85,1387906342.28,4252214064.23,3982506505.02,,,102262909161.67,134560270204.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-12-31,119015846341.0,63063848468.0,119015846341.0,1152810266.98,-16401749152.0,-43610817486.66,68124750265.0,,3925436188.63,,,338056009746.0,49907920893.0,63063848468.0,7680697530.0,3815974213.0,275778485654.0,78039806809.0,78237029837.0,4404027639.0,10380540458.24,,,0.86,,5148568663.03,78237029837.0,97971714181.0,5690543588.0,-2170730831.0,2982225108.0,-7890608259.0,-11550209489.31,1612191433.0,,4617680895.0,,,275778485654.0,9006492575.0,,17561887375.0,630387888523.0,,1537119298.0,63063848468.0,,,,2968274410.79,-22966053004.0,23421685390.0,70674189120.73,1148516494.64,197223028.0,,16174735425.0,142873862422.0,,,16148254538.0,366673233953.0,,23421685390.0,-45504554219.0,16174735425.0,,-9415347842.0,-42818109393.0,,-8805862945.0,-124933378814.0,4122404480.71,68124750265.0,3799515915.0,,,7515900415.0,,,-7484399299.66,,71822705615.0,,71822705615.0,142873862422.0,160135342066.0,457358997.56,22128825144.0,9074004851.66,,36090167233.0,,498191351812.0,498191351812.0,4617680895.0,57775070194.0,16148254538.0,354609402869.0,,6559737127.51,63063848468.0,338056009746.0,-38414081754.0,3892607993.0,78039806809.0,114228934383.74,316765313060.0,81238053457.0,27779095749.0,9802055414.21,,13762371460.0,13887498903.0,,36090167233.0,0.86,,135683533261.0,2695843145.0,-14677231271.0,59953717597.0,630387888523.0,96914980883.42,13887498903.0,34346914028.0,354609402869.0,18514185666.0,2982225108.0,,1612191433.0,160135342066.0,,17313953500.32,97971714181.0,117076079844.0,197223028.0,-4585570565.56,9561302935.0,4308351013.0,7778534078.0,3995758396.05,10754216372.81,,4122404480.71,1537119298.0,5690543588.0,7734690095.15,59953717597.0,,117076079844.0,135683533261.0,57775070194.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-03-31,,63074266540.42,124260917288.05,780151154.03,,-22340292599.17,67587735457.74,,2483609758.52,,16336182161.0,,,,,54000000.0,,69911364231.12,70155547445.09,,929695032.08,,0.12,,,2750551792.61,,105872801083.98,,-169115100.0,,,-10938267423.69,2089980500.66,,,,,287593730362.3,,,,639604961741.36,,,,,,,4848282107.56,,23524176759.18,71822705614.62,-5114900277.23,244183213.97,,16174735425.0,127207429154.94,,,,,,,,,,,,,,,1960341859.31,,,,,,,,-7021616307.76,,,0.12,66707805337.39,,,-1190000000.0,,5234161551.13,,,,,504899360771.42,5452151934.41,59735412052.09,,352011231379.06,,4771963274.49,63074266540.42,324255380510.58,,,,74352852438.17,,,,-27662237489.95,,,,,29778220322.19,,16336182161.0,,392364291.8,,57824763333.58,,64143371765.44,,,,,3302168660.37,,,180643980260.84,,10209480672.73,,,,-2457933501.77,,,,1970400638.58,5437517398.24,,1960341859.31,1537119298.28,6479572174.99,3591298227.7,,,119339733366.59,154632972006.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-30,,65279372760.0,135458014065.0,1019090250.97,,-40684709628.83,74158552588.0,,1986713526.48,,,,,,,8384888837.0,,80471027100.0,80686967690.0,,7162084062.92,,,,,5583803646.39,,119150053299.0,,-4032472239.0,,,-10410951977.31,1849758588.0,,,,,308695038843.0,,,,695520464482.0,,,,,,,3167719911.44,,24695954203.0,66707805337.39,8764817537.23,215940590.0,,16174735425.0,142270087015.0,,,,,,,,,,,,,,,4562720865.69,,,,,,,,-13122290041.24,,,,75472622875.0,,,-2981152523.0,,7570517172.87,,,,,550257210182.0,5454644127.0,61477371454.0,,386825425639.0,,5721174279.51,65279372760.0,365827749371.0,,,,101957731497.83,,,,-1568846035.05,,,,,36301731433.0,,,,809898761.2,,68800271818.0,,89130491620.56,,,,,2807347436.0,,,184429460811.0,,12827239877.27,,,,-3862415672.23,,,,4564713395.42,7106065597.76,,4562720865.69,5953417914.0,5574751574.0,4543038175.3,,,123016897133.0,159348164821.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-09-30,,67133300713.0,138818884389.0,1350263230.0,,-29467014015.0,77982963145.0,,2460064509.0,,16827089381.0,,,,,11861102226.0,,100201668027.0,100412995277.0,,16894002005.0,,0.21,,,4916933340.0,,131590510178.0,,466437392.0,,,-16302559081.0,1700098546.0,,,,,321860553239.0,,,,727062338793.0,,,,,,,3066166796.0,,24581732396.0,75472622875.0,23510348184.0,211327250.0,,25131368502.0,148092792700.0,,,,,,,,,,,,,,,3533688770.0,,,,,,,,-11219237316.0,,,0.21,98982971058.0,,,-466437392.0,,7376997849.0,,,,,568889464300.0,6503332686.0,65041395576.0,,405201785554.0,,6998602065.0,67133300713.0,370092738529.0,,,,103522553224.0,,,,-12429990718.0,,,,,32449226310.0,,16827089381.0,,1620916787.0,,71088208416.0,,88747006753.0,,,,,2828282651.0,,,198796725771.0,,14775546471.0,,,,-4487752462.0,,,,3566670110.0,7776944406.0,,3533688770.0,4937199710.0,5148755895.0,5066841616.0,,,134872065973.0,173626980606.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-12-31,125742666785.0,67569347342.0,125742666785.0,478087593.0,-11728707183.0,-70421394970.0,61060701257.0,,3383354338.0,,,371618646043.0,61477104532.0,67569347342.0,5969248968.0,-15087720562.0,339078579899.0,98077192457.0,98228887850.0,31911056350.0,2277439863.0,,,0.95,,6158873029.0,98228887850.0,145046967370.0,5428558181.0,-1082706203.0,2750388578.0,-4817856150.0,-14364071038.0,1139828316.0,,4117788628.0,,,339078579899.0,9342729185.0,,19410161808.0,731050811283.0,,6016525882.0,67569347342.0,,,,404758248.0,760282825.0,27345321293.0,98982971058.0,-4022839466.0,151695393.0,,16174735425.0,156278867280.0,,,16522404832.0,404420451987.0,,27345321293.0,-45471575208.0,16174735425.0,,23137425978.0,-52015849520.0,,-4349296365.0,-162913411213.0,5639533095.0,61060701257.0,3627592228.0,,,27263220963.0,,,-14108431543.0,,94960131593.0,,94960131593.0,156278867280.0,189869342493.0,288293550.0,27525073151.0,9542227367.0,,37864555124.0,,561487988536.0,561487988536.0,4117788628.0,69758646527.0,16522404832.0,391972231384.0,,10033333529.0,67569347342.0,371618646043.0,-20104793170.0,2765423858.0,98077192457.0,124587314826.0,342943347455.0,71822705615.0,33952031381.0,21556281073.0,,15782569580.0,15696284590.0,,37864555124.0,0.95,,166610399767.0,-57755982.0,-17540937446.0,63845777577.0,731050811283.0,100922477316.0,15696284590.0,37021995936.0,391972231384.0,23636824476.0,2750388578.0,,1139828316.0,189869342493.0,,23664837510.0,145046967370.0,147237514346.0,151695393.0,-6732835810.0,11486927063.0,5212270501.0,8269104943.0,5680785436.0,13631503981.0,,5639533095.0,6016525882.0,5428558181.0,10435646457.0,63845777577.0,,147237514346.0,166610399767.0,69758646527.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-03-31,,67375287238.07,131899239753.13,795891785.38,,-23565360177.47,68877996636.42,,2454045751.17,,16468281976.0,,,,,790286331.24,,89249385100.67,89381825557.46,,274945143.48,,0.14,,,3113527546.99,,153461531805.58,,-10038827.75,,,-9739573451.96,1035536858.49,,,,,344973558813.4,,,,750834048055.25,,,,,,,379376723.97,,21212869431.74,94960131591.0,-7762155101.13,132440456.79,,30643152773.91,139701209153.22,,,,,,,,,,,,,,,2305559476.67,,,,,,,,-9756832657.92,,,0.14,87197976489.87,,,-327260209.38,,5198464021.4,,,,,579457423275.88,4288987590.68,72051752180.63,,405860489241.85,,5198464021.4,67375287238.07,373088441071.6,,,,82573675027.62,,,,-23769618025.89,,,,,35659291864.03,,16468281976.0,,-74645429.28,,75506308776.45,,71228312414.13,,,,,2758170430.86,,,206368982204.28,,11345362613.49,,,,-2471951372.55,,,,2317635761.61,6146898592.09,,2305559476.67,6234264094.18,4917561356.88,4088512809.92,,,147993979086.95,182247870024.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-06-30,,69031705770.0,135309092613.0,1394125820.62,,-46732108041.53,65339944169.0,,2238260592.83,,,,,,,916041163.76,,88106056061.0,88261532340.0,,96309447.52,,,,,6253516810.01,,159309525476.0,,-67267637.25,,,-11898984405.04,924794502.0,,,,,346429723633.0,,,,758943977473.0,,,,,,,496921900.03,,32334358437.0,87197976489.87,-5864640036.87,155476279.0,,16174735425.0,157718575433.0,,,,,,,,,,,,,,,4717460040.33,,,,,,,,-14203673163.08,,,,81333336455.0,,,-1293879969.62,,8860886679.6,,,,,585324974354.0,2613367775.0,72684893315.0,,412514253840.0,,8273050183.6,69031705770.0,377313521793.0,,,,100865610209.38,,,,-13451808947.11,,,,,46130819743.0,,,,-1610496739.72,,72722683074.0,,88752715223.87,,,,,2891471641.0,,,208011452561.0,,12112894985.51,,,,-2078166586.45,,,,4859390989.39,3839844801.91,,4717460040.33,6225006643.0,5231702393.0,5204422028.08,,,149664513480.0,185917425831.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-09-30,,68582515771.0,146353205960.0,1033309784.0,,-9008567517.0,62120206191.0,,2446452386.0,,17710921408.0,,,,,2377998439.0,,80620641308.0,80823451409.0,,2679323104.0,,0.24,,,5305827508.0,,166038113125.0,,0.0,,,-17006281405.0,980673895.0,,,,,361609416672.0,,,,792721200335.0,,,,,,,2127901814.0,,33129711196.0,81333336455.0,-6054818382.0,202810101.0,,28218772218.0,168962885064.0,,,,,,,,,,,,,,,4250621138.0,,,,,,,,-15870789808.0,,,0.24,75278518073.0,,,-1398443661.0,,7752279894.0,,,,,611742898307.0,3120416780.0,76935514452.0,,431111783663.0,,7704594030.0,68582515771.0,389869296953.0,,,,107783481808.0,,,,-12930171920.0,,,,,41559576099.0,,17710921408.0,,233895639.0,,81793405601.0,,93246683297.0,,,,,2948170180.0,,,221873601354.0,,14536798511.0,,,,-8863749137.0,,,,4272517724.0,6832204481.0,,4250621138.0,6366041018.0,5536443566.0,6462593206.0,,,156043750516.0,197285426217.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-12-31,131527028973.0,66341210262.0,131527028973.0,1779717762.0,-15267607985.0,-41012852856.0,63629618510.0,,3710227270.0,,,423344681116.0,64338649296.0,66341210262.0,8402398303.0,-9379829.0,364316408203.0,114637221037.0,115134609051.0,29722887754.0,1370258877.0,,,0.97,,7552411408.0,115134609051.0,148314901113.0,4441083556.0,0.0,1022588059.0,-77306465.0,1708770870.0,1190594541.0,,868811361.0,,,364316408203.0,9627649252.0,,22225283274.0,801463079787.0,,5209866125.0,66341210262.0,,,,87503458.0,-7473236793.0,43899463199.0,75278518073.0,33441257857.0,497388014.0,,16174735425.0,187794301956.0,,,17260901235.0,431743429819.0,,43899463199.0,-38707818474.0,16174735425.0,,13759644337.0,-36936068392.0,,-7435443689.0,-120318888592.0,5469433544.0,63629618510.0,5003045152.0,,,4420836572.0,,,1123477155.0,,108719775930.0,,108719775930.0,187794301956.0,191161082411.0,-4415859849.0,31257755277.0,11262638678.0,,45421691184.0,,614505763527.0,614505763527.0,868811361.0,81578213987.0,17260901235.0,437146671584.0,,10081647041.0,66341210262.0,423344681116.0,-7213180638.0,293123481.0,114637221037.0,140520662773.0,367404780523.0,94960131593.0,33080894019.0,42938418255.0,,17222238122.0,16743074198.0,,45421691184.0,0.97,,172896867709.0,1744370011.0,-16864701385.0,83436913111.0,801463079787.0,114177069589.0,16743074198.0,41128298626.0,437146671584.0,28590388642.0,1022588059.0,,1190594541.0,191161082411.0,,26343593184.0,148314901113.0,159666395219.0,497388014.0,-3450834289.0,3091703896.0,4074946105.0,9275366100.0,5772693646.0,16261946143.0,,5469433544.0,5209866125.0,4441083556.0,12834860598.0,83436913111.0,,159666395219.0,172896867709.0,81578213987.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-03-31,,66195254390.0,144741955536.0,918372285.0,,-26567699830.0,61397487985.0,,2073304278.0,,16529656863.0,,,,,972939572.0,,95988099363.0,98878839765.0,,409969640.0,,0.19,,,4080332118.0,,153689455253.0,,-16948705.0,,,-10651894332.0,1173909020.0,,,,,376002477727.0,,,,816503848997.0,,,,,,,843736066.0,,38051497367.0,108719775930.0,-18649121673.0,2890740402.0,,30643152774.0,169794547627.0,,,,,,,,,,,,,,,3140634804.0,,,,,,,,-10831876656.0,,,0.19,90070654257.0,,,-548445102.0,,6153636396.0,,,,,623780384629.0,957491891.0,84718549353.0,,440501371270.0,,5964291537.0,66195254390.0,416504904364.0,,,,82698843326.0,,,,-24355992665.0,,,,,41413241256.0,,16529656863.0,,-483135430.0,,82694280244.0,,71651502000.0,,,,,1246155670.0,,,207275480265.0,,11047341326.0,,,,-2821814785.0,,,,3161959833.0,5083049789.0,,3140634804.0,5481513065.0,4780252817.0,4785755482.0,,,163973312763.0,188406220141.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-06-30,,66977423310.0,157949325290.0,1663893442.0,,-29526327192.0,74091005342.0,,3107126569.0,,,,,,,279542638.0,,106313764433.0,109582062153.0,,2129776463.0,,,,,6312999135.0,,159922128359.0,,-417716729.0,,,-5017047169.0,3321942628.0,,,,,388224646185.0,,,,857948483078.0,,,,,,,108553050.0,,39426278576.0,90070654257.0,10537453643.0,3268297720.0,,16174735425.0,190696252409.0,,,,,,,,,,,,,,,4397643237.0,,,,,,,,-9334671933.0,,,,100608107900.0,,,-4802073894.0,,9420125704.0,,,,,662828874585.0,963440759.0,84955034440.0,,469723836893.0,,8047914154.0,66977423310.0,458734109647.0,,,,107402637808.0,,,,6599719757.0,,,,,47588444750.0,,,,521161375.0,,88058347070.0,,92268505464.0,,,,,1358574811.0,,,204094764938.0,,15134132344.0,,,,-3319654308.0,,,,4649105693.0,7086218190.0,,4397643237.0,5767370355.0,5260439106.0,6645554674.0,,,168219189609.0,184932654445.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-09-30,,67598155065.0,166602743840.0,1059672149.0,,-40478451393.0,81830428489.0,,2174741639.0,,16116443142.0,,,,,818515868.0,,98055193604.0,98624958055.0,,669776808.0,,0.26,,,5341843829.0,,166771387090.0,,-400661670.0,,,-8462032666.0,3583796867.0,,,,,413337625028.0,,,,883704733819.0,,,,,,,1430033922.0,,33130327024.0,100608107900.0,-8517037070.0,569764451.0,,30643152774.0,200032983283.0,,,,,,,,,,,,,,,4190275217.0,,,,,,,,-12231535724.0,,,0.26,92091070830.0,,,-2127941179.0,,7516585468.0,,,,,681789340906.0,873846168.0,89143952320.0,,470367108791.0,,6972552559.0,67598155065.0,465243635434.0,,,,117195644376.0,,,,-1313293044.0,,,,,41323410079.0,,16116443142.0,,-2586914398.0,,91356958202.0,,102174893802.0,,,,,1412717561.0,,,216545705472.0,,15020750574.0,,,,-3490464568.0,,,,4282171680.0,8048198015.0,,4190275217.0,5768982586.0,4576264790.0,7619868172.0,,,173496771574.0,197876756530.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-12-31,130113267841.0,52263585489.0,130113267841.0,1592560036.0,-22477773417.0,-31176753733.0,61786781012.0,,4719763845.0,,,446711004540.0,67432322514.0,52263585489.0,294345632.0,959936412.0,400689873911.0,134321081923.0,137687239225.0,42741461162.0,1522113872.0,,,1.21,,10818102967.0,137687239225.0,162609473225.0,5968602410.0,564447486.0,1132190719.0,-270879618.0,-16605719449.0,6559205840.0,,358701824.0,,,400689873911.0,10643074361.0,,26553278049.0,850235282422.0,,5425674160.0,52263585489.0,,,,1595025457.0,2498384129.0,33721395494.0,92091070830.0,37105745133.0,3366157302.0,,30643152774.0,212739870233.0,,,17008907405.0,482804341572.0,,33721395494.0,-45619038903.0,30643152774.0,,20477040033.0,-40736693616.0,,-14977105606.0,-127749232148.0,8852224702.0,61786781012.0,5234497912.0,,,4731636783.0,,,-13220954590.0,,129196815963.0,,129196815963.0,212739870233.0,197582517571.0,-7498645431.0,34825378621.0,15537866812.0,,56294061126.0,,644293522111.0,644293522111.0,358701824.0,97282989512.0,17008907405.0,449545408511.0,,13840620371.0,52263585489.0,446711004540.0,2004767546.0,2765701922.0,134321081923.0,175507216062.0,415372019058.0,108719775930.0,32606943893.0,21074333498.0,,21318780137.0,20580777960.0,,56294061126.0,1.21,,177798049309.0,5314590375.0,-17702118989.0,68044732239.0,850235282422.0,149277117792.0,20580777960.0,46800709864.0,449545408511.0,31314896962.0,1132190719.0,,6559205840.0,197582517571.0,,26230098270.0,162609473225.0,181270793763.0,3366157302.0,-8070185328.0,3977348495.0,3030934490.0,9604357454.0,9225542931.0,12389477899.0,,8852224702.0,5425674160.0,5968602410.0,12263718634.0,68044732239.0,,181270793763.0,177798049309.0,97282989512.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-31,,53146094936.0,143138240502.0,975100066.0,,-22620943597.0,63499075427.0,,2134442821.0,,16353162005.0,,,,,971900108.0,,110110113291.0,113628435438.0,,2405206161.0,,0.21,,,4381406907.0,,166789298560.0,,-1754160.0,,,-9245671826.0,32415395238.0,,,,,409233531050.0,,,,853026572373.0,,,,,,,543453205.0,,28757392291.0,129196815964.0,-24056862446.0,3518322147.0,,30643152774.0,184363859480.0,,,,,,,,,,,,,,,3434164021.0,,,,,,,,-13623906683.0,,,0.21,105139953518.0,,,-4337393271.0,,6515849728.0,,,,,642083300255.0,727786659.0,100717153535.0,,443793041323.0,,6014060483.0,53146094936.0,432181077058.0,,,,93253359275.0,,,,-25128144342.0,,,,,56304967538.0,,16353162005.0,,-601572212.0,,71799966116.0,,81507133914.0,,,,,1109693408.0,,,209902223197.0,,11746225361.0,,,,-2602052614.0,,,,3406306841.0,5732164878.0,,3434164021.0,5164820597.0,5925211948.0,5460428898.0,,,183561054351.0,188906092159.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-06-30,,53264711933.0,47200129283.0,1401211122.0,,-14916544794.0,66711961153.0,,3250897408.0,,,,,,,435362577.0,,114449342008.0,115691000347.0,,3691943838.0,,,,,6616503047.0,,175496905107.0,,,,,-9079654373.0,7772923017.0,,,,,426117211033.0,,,,904870498625.0,,,,,,,5114312456.0,,135211101055.0,105139953518.0,3511490649.0,1241658339.0,,30643152774.0,208918117466.0,,,,,,,,,,,,,,,4740900136.0,,,,,,,,-5200207809.0,,,,108651444166.0,,,-2833220830.0,,9867400455.0,,,,,693884621088.0,776953128.0,99809874279.0,,478753287592.0,,9143977932.0,53264711933.0,468310124079.0,,,,115125627053.0,,,,-26241776316.0,,,,,181041610873.0,,,,1291915029.0,,77433457088.0,,97978195276.0,,,,,1166169853.0,,,225574497009.0,,17147431777.0,,,,-3444574371.0,,,,5215291925.0,8003453845.0,,4740900136.0,5195686097.0,5295174101.0,2812722460.0,,,181502841375.0,203025644122.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-09-30,,54198798862.0,48556815963.0,1109562710.0,,-30526447477.0,66300764934.0,,815254321.0,,16159632534.0,,,,,418997700.0,,111445428132.0,113321673291.0,,-1994346584.0,3091546222.0,0.29,,,5862940013.0,,180223248075.0,,,,,-8055739490.0,8411770726.0,,,,,447199503703.0,,,,921794993496.0,,,,,,,1050441097.0,,126897596175.0,108651444166.0,-2881688818.0,1876245159.0,,30643152774.0,216554708290.0,,,,,,,,,,,,,,,4686293435.0,,,,,,,,-15442062952.0,,,0.29,105769755348.0,,,-6392584478.0,,6678194334.0,,,,,702921667492.0,412864496.0,104496167717.0,,474595489793.0,,6152485061.0,54198798862.0,458512322279.0,,,,120168181389.0,,,,-5436338362.0,,,,,179544938756.0,,16159632534.0,,-1479742130.0,,75920822737.0,,105766711247.0,,,,,1159157150.0,,,244409345213.0,,14401470142.0,,,,-5634964730.0,,,,4753377303.0,8248985081.0,,4686293435.0,5293092806.0,5980524524.0,4908320307.0,,,188586053900.0,222066645153.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
